age_at_current_charge,age_at_first_charge,p_charges,p_incarceration,p_probation,p_juv_fel_count,p_felprop_viol,p_murder,p_felassault,p_misdeassault,p_famviol,p_sex_offense,p_weapon,p_fta_two_year,p_fta_two_year_plus,current_violence,current_violence20,p_pending_charge,p_felony,p_misdemeanor,p_violence,total_convictions,p_arrest,p_property,p_traffic,p_drug,p_dui,p_domestic,p_stalking,p_voyeurism,p_fraud,p_stealing,p_trespass,six_month,one_year,three_year,five_year,sex,general_two_year
45,19,39,1,3,0,3,0,8,5,0,0,3,0,0,1,0,19,5,6,15,11,22,4,0,1,1,0,0,0,0,2,0,0,0,0,1,1,0
42,26,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,7,9,2,0,3,0,0,0,0,0,1,2,0,0,0,0,1,1
43,26,15,1,0,0,1,0,0,1,0,0,0,1,0,1,0,3,6,6,1,12,11,4,0,3,0,0,0,0,0,3,3,1,1,1,1,1,0
35,19,47,1,3,0,3,0,2,1,0,0,1,0,0,1,0,44,5,5,8,10,11,6,0,2,0,0,0,0,0,6,0,0,0,0,0,1,0
27,18,11,1,2,0,3,2,3,0,0,0,0,0,0,0,0,10,4,0,8,4,8,4,0,0,0,0,0,0,0,4,1,0,0,0,1,1,1
27,18,12,1,2,0,3,3,3,0,0,0,0,0,0,1,0,10,4,1,8,5,9,4,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1
19,18,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,0,1,0,0,0,0,0,1,2,0,1,1,1,1,0
19,18,5,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
26,19,15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,0,8,8,0,0,5,0,0,0,0,0,0,0,0,1,1,1,1,1
19,19,7,0,0,0,0,0,0,1,0,0,2,0,0,1,1,6,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
24,20,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
34,17,6,0,1,0,0,0,0,2,0,0,0,0,0,1,0,3,0,1,2,1,10,2,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0
42,20,34,0,1,0,2,0,0,0,0,0,0,3,0,0,0,24,8,14,2,22,14,2,0,11,3,0,0,0,0,2,0,1,1,1,1,1,1
50,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
30,20,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
